"Years","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"                        Canada ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"166856000000","179053000000","163397000000","160887000000","169992000000","190042000000","212340000000","231346000000","249819000000","262282000000","205457000000","250283000000","282678000000","294156000000","302118000000","313872000000","281562000000","267235000000","283700000000","300652000000","293658000000","256106000000","308223000000"
"                        Europe ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"172504000000","188868000000","182962000000","165156000000","175033000000","194296000000","213452000000","247642000000","288808000000","331800000000","263794000000","289652000000","334950000000","334456000000","330992000000","337303000000","321839000000","319511000000","335622000000","373485000000","384276000000","331054000000","387682000000"
"                            By region",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"                                Belgium ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12387000000","13994000000","13512000000","13298000000","15234000000","16887000000","18725000000","21401000000","25389000000","28995000000","21705000000","25442000000","29996000000","29420000000","31843000000","34712000000","34088000000","32097000000","29930000000","31430000000","34732000000","27566000000","33667000000"
"                                France ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"18698000000","20408000000","20032000000","19211000000","17257000000","21157000000","22612000000","24009000000","27218000000","29681000000","26989000000","27353000000","28420000000","31290000000","32114000000","31667000000","30235000000","31300000000","33689000000","36765000000","37846000000","27302000000","30035000000"
"                                Germany ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"26691000000","29405000000","29861000000","26624000000","29018000000","31782000000","34874000000","41919000000","50113000000","55321000000","43949000000","48482000000","49738000000","49269000000","47705000000","49690000000","50069000000","49540000000","54114000000","57779000000","60027000000","57264000000","65203000000"
"                                Italy ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10002000000","11055000000","9829000000","10043000000","10569000000","10903000000","11627000000","12750000000","14370000000","15754000000","12426000000","14393000000","16262000000","16251000000","16916000000","17108000000","16288000000","16777000000","18466000000","22935000000","23718000000","19858000000","21717000000"
"                                Luxembourg ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"993000000","355000000","460000000","474000000","261000000","616000000","709000000","589000000","916000000","984000000","1253000000","1431000000","1609000000","1932000000","1881000000","1582000000","1440000000","1538000000","1171000000","1233000000","2034000000","1431000000","1684000000"
"                                Netherlands ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"19602000000","22088000000","19789000000","18598000000","20911000000","24460000000","26822000000","31310000000","33270000000","40143000000","32658000000","34841000000","42477000000","40910000000","42820000000","43276000000","40259000000","39597000000","41435000000","48521000000","50937000000","45196000000","53579000000"
"                                UK ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"38222000000","41433000000","40455000000","33311000000","33979000000","36158000000","38870000000","45673000000","51100000000","54867000000","46884000000","49080000000","57109000000","55758000000","48224000000","54664000000","56540000000","55519000000","56469000000","66844000000","69462000000","58402000000","61546000000"
