"Years","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"                                UK ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30484000000","32562000000","30976000000","32332000000","34991000000","41919000000","44586000000","50408000000","60477000000","59995000000","52309000000","55811000000","58587000000","61269000000","61896000000","66321000000","70181000000","69740000000","74735000000","78794000000","77703000000","62691000000","67052000000"
"                                Other Europe ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"18754000000","20387000000","20114000000","21349000000","38342000000","49363000000","55760000000","64152000000","79332000000","91176000000","87538000000","90949000000","101088000000","104949000000","110819000000","122971000000","125827000000","134182000000","148108000000","152536000000","162450000000","146843000000","164688000000"
"                                European Union  ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"89526000000","94671000000","89021000000","94840000000","100761000000","120631000000","130749000000","145134000000","177878000000","194480000000","179074000000","184990000000","202259000000","204764000000","210275000000","228222000000","235611000000","244419000000","260170000000","268991000000","276961000000","172792000000","192326000000"
"                                Euro Area ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"56987000000","57578000000","53971000000","57967000000","60452000000","70954000000","75913000000","84430000000","103838000000","119756000000","113199000000","114783000000","128373000000","127934000000","132401000000","144768000000","148569000000","156635000000","165901000000","169633000000","177372000000","155620000000","171056000000"
"                        Latin America and other Western Hemisphere ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"53661000000","57711000000","56005000000","55648000000","54075000000","60469000000","66153000000","76643000000","92027000000","103104000000","97247000000","113715000000","129534000000","140497000000","154722000000","162978000000","161075000000","150074000000","159089000000","160088000000","158459000000","126207000000","148856000000"
"                            By region",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"                                South and Central America ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"41381000000","44370000000","43193000000","41538000000","39840000000","41455000000","45874000000","50555000000","56889000000","63678000000","61317000000","71096000000","81074000000","89110000000","96011000000","98515000000","100467000000","93616000000","98788000000","102374000000","98935000000","65928000000","82657000000"
"                                    By region",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"                                        Argentina ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3716000000","3867000000","3219000000","1846000000","1824000000","1924000000","2076000000","2520000000","2893000000","3473000000","3636000000","4694000000","5603000000","6384000000","7092000000","6881000000","8013000000","7713000000","8633000000","8386000000","7588000000","4155000000","4820000000"
"                                        Brazil ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5864000000","6748000000","6195000000","5913000000","5226000000","5545000000","6231000000","8097000000","10500000000","12985000000","13625000000","18418000000","22929000000","25419000000","27454000000","28963000000","27115000000","22367000000","26525000000","26574000000","24258000000","14941000000","15628000000"
"                                        Mexico ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14787000000","16285000000","17130000000","17978000000","18492000000","18750000000","21412000000","22470000000","23526000000","24851000000","21627000000","23730000000","25477000000","27291000000","28880000000","29466000000","31053000000","31039000000","31789000000","32865000000","32738000000","23433000000","29935000000"
"                                        Venezuela ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4223000000","3945000000","3915000000","3533000000","2577000000","2753000000","2957000000","3439000000","4295000000","5225000000","5513000000","5275000000","5845000000","6971000000","7834000000","6768000000","5868000000","4763000000","3339000000","3088000000","2325000000","1142000000","1527000000"
"                                        Other South and Central America ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11056000000","11939000000","11199000000","10878000000","11721000000","12484000000","13199000000","14029000000","15675000000","17144000000","16916000000","18978000000","21219000000","23044000000","24750000000","26437000000","28418000000","27734000000","28502000000","31462000000","32025000000","22256000000","30747000000"
"                                Other Western Hemisphere ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12280000000","13341000000","12811000000","14110000000","14235000000","19014000000","20278000000","26088000000","35138000000","39426000000","35930000000","42619000000","48460000000","51387000000","58712000000","64462000000","60608000000","56458000000","60301000000","57714000000","59524000000","60280000000","66200000000"
"                        Africa ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5655000000","6209000000","5893000000","5572000000","5978000000","6561000000","7046000000","8023000000","8930000000","10137000000","11183000000","11875000000","12824000000","13493000000","13560000000","13810000000","14083000000","13370000000","14404000000","15391000000","14875000000","11003000000","12135000000"
"                            By region",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"                                South Africa ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1454000000","1611000000","1410000000","1313000000","1204000000","1422000000","1591000000","1823000000","2128000000","2203000000","2381000000","2425000000","2738000000","2786000000","2749000000","2831000000","2824000000","2610000000","2641000000","2609000000","2651000000","1902000000","2096000000"
"                                Other Africa ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4201000000","4598000000","4483000000","4260000000","4774000000","5139000000","5456000000","6200000000","6802000000","7935000000","8802000000","9450000000","10086000000","10708000000","10811000000","10980000000","11260000000","10760000000","11762000000","12782000000","12223000000","9100000000","10039000000"
"                        Middle East ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10097000000","9476000000","9232000000","8444000000","9749000000","13774000000","16551000000","20178000000","20527000000","21958000000","23217000000","21531000000","23286000000","25594000000","26742000000","27758000000","29873000000","30012000000","32006000000","34188000000","34213000000","28278000000","29913000000"
"                        Asia & Pacific ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"77549000000","85649000000","79565000000","78321000000","79212000000","89518000000","98008000000","105413000000","118975000000","125160000000","129059000000","153674000000","171869000000","187421000000","196658000000","205946000000","215246000000","228640000000","241876000000","249502000000","254967000000","192533000000","201693000000"
"                            By region",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"                                Australia ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5697000000","6396000000","5655000000","5704000000","6551000000","7462000000","8285000000","9449000000","11582000000","13351000000","14166000000","16096000000","18902000000","20614000000","21544000000","22034000000","22993000000","22924000000","23000000000","22913000000","21850000000","15114000000","16306000000"
"                                China ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4533000000","5497000000","5628000000","6046000000","5982000000","7403000000","8811000000","10028000000","12359000000","14928000000","16130000000","20518000000","25256000000","29851000000","35226000000","41646000000","46838000000","53394000000","56145000000","58467000000","59354000000","40394000000","36179000000"
"                                Hong Kong ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3639000000","3977000000","3685000000","3650000000","3662000000","3688000000","4180000000","4603000000","5585000000","5865000000","6003000000","5836000000","6332000000","6618000000","9059000000","10081000000","10240000000","10507000000","11733000000","12673000000","13713000000","12452000000","14100000000"
"                                India ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2444000000","3047000000","3428000000","3517000000","4104000000","4792000000","5280000000","6234000000","8320000000","9284000000","9117000000","9898000000","10676000000","11193000000","12364000000","14389000000","17321000000","19516000000","22250000000","22575000000","23584000000","16377000000","16720000000"
"                                Japan ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"34167000000","37169000000","32961000000","31764000000","30955000000","36449000000","38566000000","37457000000","36705000000","37583000000","36064000000","43519000000","45221000000","48281000000","46525000000","46200000000","43527000000","44004000000","46026000000","46677000000","49679000000","37817000000","36595000000"
"                                Singapore ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5481000000","6515000000","6296000000","5882000000","6213000000","5752000000","5902000000","6106000000","7430000000","6949000000","7448000000","10664000000","11685000000","13699000000","11613000000","12165000000","14758000000","18764000000","21203000000","24567000000","25398000000","24695000000","27204000000"
"                                South Korea ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5869000000","7023000000","6768000000","7137000000","7338000000","8038000000","9227000000","11274000000","12381000000","13012000000","13486000000","16618000000","17887000000","19958000000","22302000000","21398000000","21761000000","22465000000","24393000000","23372000000","23449000000","17823000000","19455000000"
"                                Taiwan ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5481000000","5581000000","5176000000","4974000000","4856000000","5728000000","6309000000","6662000000","6153000000","6180000000","6863000000","9921000000","10838000000","11594000000","11804000000","12695000000","12576000000","12385000000","10915000000","10720000000","10573000000","8924000000","10167000000"
"                                Other Asia & Pacific ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3315000000","3735000000","3585000000","3165000000","9548000000","10206000000","11447000000","13599000000","18460000000","18009000000","19780000000","20604000000","25072000000","25613000000","26221000000","25338000000","25232000000","24683000000","26211000000","27539000000","27366000000","18936000000","24967000000"
"                        International organizations and unallocated ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4173000000","4008000000","3801000000","3869000000","3024000000","3111000000","3407000000","2495000000","2416000000","2532000000","2555000000","2674000000","2628000000","2616000000","2537000000","2615000000","2403000000","2362000000","2406000000","2563000000","2591000000","2497000000","2980000000"
"        Income receipts (credits)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"            By type",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"                Primary income receipts ($)","4616000000","5000000000","5618000000","6156000000","6824000000","7437000000","7528000000","8021000000","9368000000","10913000000","11748000000","12706000000","14764000000","21809000000","27587000000","25351000000","29374000000","32355000000","42087000000","63835000000","72605000000","86529000000","96522000000","96031000000","115639000000","105046000000","102798000000","113603000000","141666000000","166384000000","176894000000","155327000000","139082000000","141606000000","169447000000","213661000000","229530000000","261357000000","266244000000","302540000000","365612000000","311364000000","306391000000","346931000000","432839000000","536294000000","669919000000","816938000000","820244000000","653222000000","723223000000","791469000000","791679000000","811561000000","845926000000","825100000000","857819000000","997044000000","1106417000000","1124929000000","957857000000","1090789000000"
"                Secondary income (current transfer) receipts  ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"34384000000","37545000000","41410000000","53019000000","62031000000","60145000000","65356000000","70308000000","70182000000","84547000000","85155000000","91915000000","101654000000","112065000000","125788000000","140588000000","132869000000","141132000000","160522000000","148587000000","159162000000","166344000000","169986000000"
"            By region",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"                Canada ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"32362000000","40633000000","41538000000","49361000000","50212000000","63110000000","40619000000","54629000000","71122000000","69936000000","70075000000","70755000000","56596000000","53813000000","64120000000","76934000000","76904000000","62825000000","79078000000"
"                Europe ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"194106000000","230883000000","287758000000","365165000000","440666000000","435777000000","341068000000","369660000000","381869000000","394206000000","422436000000","452361000000","454016000000","470756000000","549475000000","564341000000","589561000000","497554000000","566384000000"
"                    By region",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"                        Belgium ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3259000000","4776000000","5759000000","6627000000","8726000000","6814000000","5008000000","4531000000","4618000000","4092000000","5237000000","5949000000","5815000000","7518000000","8708000000","9000000000","9183000000","9075000000","9484000000"
"                        France ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13846000000","16256000000","18992000000","25966000000","31341000000","30808000000","19613000000","19862000000","18806000000","16503000000","19053000000","31208000000","18734000000","21444000000","26383000000","31751000000","34223000000","26321000000","27049000000"
"                        Germany ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"21093000000","23058000000","21366000000","27094000000","29645000000","32828000000","21353000000","21392000000","23478000000","20573000000","23546000000","22638000000","28600000000","26381000000","32689000000","29760000000","33326000000","30599000000","32722000000"
"                        Italy ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4846000000","4094000000","5371000000","7209000000","7984000000","8466000000","6081000000","4391000000","4733000000","4373000000","4700000000","6731000000","5940000000","5779000000","5868000000","6710000000","6876000000","5805000000","7032000000"
"                        Luxembourg ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11141000000","10967000000","15099000000","21290000000","24864000000","26159000000","24752000000","37447000000","30618000000","36080000000","44578000000","49091000000","36983000000","44469000000","51758000000","52120000000","50237000000","44227000000","50617000000"
"                        Netherlands ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"22311000000","37550000000","43564000000","49437000000","62405000000","64789000000","68318000000","77066000000","87569000000","86552000000","91690000000","84704000000","85442000000","86734000000","98401000000","104562000000","105055000000","84617000000","102735000000"
"                        UK ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"53657000000","60544000000","86218000000","120873000000","137453000000","111533000000","85429000000","83586000000","89038000000","96626000000","95983000000","99480000000","105574000000","111830000000","133161000000","151004000000","158209000000","118275000000","132758000000"
"                        Other Europe ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"63952000000","73638000000","91388000000","106669000000","138248000000","154377000000","110512000000","121386000000","123009000000","129407000000","137651000000","152559000000","166929000000","166601000000","192504000000","179436000000","192451000000","178635000000","203987000000"
"                        European Union  ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"160245000000","194125000000","242263000000","317350000000","383001000000","367932000000","290348000000","313244000000","324763000000","337570000000","357754000000","392215000000","392757000000","409144000000","475316000000","497834000000","523090000000","313316000000","363905000000"
"                        Euro Area ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"100929000000","129651000000","146520000000","184470000000","229176000000","241752000000","196609000000","219277000000","223916000000","230064000000","249437000000","278149000000","274135000000","282351000000","324747000000","330122000000","345058000000","296662000000","345548000000"
"                Latin America and other Western Hemisphere ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"85232000000","105869000000","136205000000","171076000000","218310000000","222233000000","194741000000","207585000000","231926000000","227268000000","223383000000","234588000000","238987000000","247762000000","281383000000","307094000000","318605000000","292611000000","308905000000"
"                    By region",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"                        South and Central America ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"19773000000","26347000000","31932000000","37999000000","46302000000","48357000000","39120000000","46436000000","53309000000","51310000000","46135000000","41688000000","36585000000","36547000000","42846000000","46107000000","46056000000","32776000000","45491000000"
"                            By region",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"                                Argentina ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1171000000","1553000000","2098000000","2643000000","2726000000","2185000000","1236000000","1848000000","2454000000","1927000000","1416000000","1707000000","2382000000","2977000000","3449000000","2978000000","1755000000","929000000","2119000000"
"                                Brazil ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3744000000","5198000000","6740000000","8972000000","12550000000","15541000000","12287000000","16643000000","18795000000","16984000000","14550000000","12448000000","8617000000","8957000000","9939000000","11947000000","13000000000","7515000000","9254000000"
"                                Mexico ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8644000000","10487000000","12519000000","14113000000","16642000000","15346000000","12094000000","13641000000","17251000000","17855000000","16396000000","14196000000","14635000000","14118000000","16079000000","16706000000","17255000000","12953000000","18211000000"
"                                Venezuela ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1125000000","2427000000","2560000000","3322000000","1784000000","3244000000","3234000000","2254000000","2658000000","2487000000","2404000000","1889000000","1629000000","-171000000","160000000","351000000","-137000000","-16000000","152000000"
"                                Other South and Central America ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5087000000","6682000000","8014000000","8950000000","12599000000","12041000000","10269000000","12048000000","12153000000","12058000000","11370000000","11450000000","9322000000","10666000000","13221000000","14124000000","14183000000","11395000000","15754000000"
"                        Other Western Hemisphere ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"65460000000","79522000000","104274000000","133077000000","172008000000","173877000000","155621000000","161150000000","178617000000","175958000000","177248000000","192899000000","202402000000","211216000000","238536000000","260988000000","272549000000","259836000000","263414000000"
"                Africa ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6788000000","6702000000","7068000000","9490000000","9028000000","12645000000","7563000000","9621000000","12217000000","11580000000","10767000000","9618000000","7271000000","6339000000","7338000000","9645000000","9289000000","6359000000","10359000000"
"                    By region",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"                        South Africa ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1002000000","1344000000","1514000000","2022000000","2115000000","1828000000","1591000000","2385000000","2865000000","3238000000","2989000000","2917000000","2833000000","2533000000","3074000000","3533000000","3252000000","2374000000","2917000000"
"                        Other Africa ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5786000000","5359000000","5554000000","7468000000","6913000000","10816000000","5973000000","7236000000","9352000000","8342000000","7778000000","6701000000","4438000000","3806000000","4265000000","6113000000","6036000000","3985000000","7441000000"
"                Middle East ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4792000000","6388000000","7651000000","9306000000","11758000000","12874000000","8269000000","12378000000","19344000000","19367000000","20098000000","19342000000","13820000000","11239000000","14279000000","17003000000","16468000000","12786000000","18150000000"
"                Asia & Pacific ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"55081000000","72243000000","94374000000","108889000000","125041000000","124905000000","106772000000","125155000000","139826000000","142935000000","150953000000","162375000000","153173000000","161386000000","186184000000","219130000000","210819000000","196067000000","221829000000"
"                    By region",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"                        Australia ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7034000000","9800000000","12348000000","14154000000","18504000000","19642000000","15402000000","21568000000","24226000000","28339000000","25898000000","22137000000","21491000000","19753000000","22169000000","25877000000","24761000000","20517000000","24107000000"
"                        China ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2813000000","4113000000","5080000000","7255000000","8762000000","10222000000","9360000000","11464000000","11866000000","8859000000","13475000000","17472000000","15328000000","16950000000","19252000000","20486000000","19092000000","18741000000","21520000000"
"                        Hong Kong ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4856000000","6178000000","6804000000","10381000000","11392000000","9858000000","9708000000","9954000000","10373000000","10395000000","10081000000","10753000000","11345000000","10414000000","13194000000","18958000000","19053000000","18217000000","18525000000"
"                        India ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"869000000","1572000000","1902000000","2644000000","3830000000","4031000000","4148000000","5032000000","5537000000","6147000000","5899000000","6711000000","7263000000","8367000000","9410000000","9645000000","9938000000","8926000000","12459000000"
"                        Japan ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"19105000000","23215000000","28485000000","31255000000","33838000000","33600000000","33417000000","28693000000","32775000000","34080000000","36293000000","40386000000","43783000000","49125000000","55598000000","63043000000","65124000000","62496000000","59059000000"
"                        Singapore ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6968000000","9789000000","17275000000","17483000000","21463000000","19813000000","12297000000","18336000000","23873000000","24319000000","29774000000","34529000000","26925000000","28590000000","35830000000","46487000000","40232000000","38092000000","49754000000"
"                        South Korea ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3467000000","4683000000","6473000000","7909000000","8519000000","8256000000","7296000000","8718000000","9627000000","10290000000","9221000000","9045000000","9073000000","9171000000","8818000000","10822000000","11276000000","9796000000","11467000000"
"                        Taiwan ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1826000000","2890000000","3646000000","3917000000","4048000000","4236000000","3059000000","4666000000","4566000000","5374000000","4064000000","4667000000","4736000000","5269000000","5726000000","6578000000","6354000000","7087000000","8118000000"
"                        Other Asia & Pacific ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8142000000","10005000000","12360000000","13891000000","14685000000","15247000000","12083000000","16725000000","16983000000","15131000000","16249000000","16676000000","13227000000","13747000000","16187000000","17235000000","14991000000","12195000000","16818000000"
"                International organizations and unallocated ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30600000000","30266000000","27054000000","26940000000","32104000000","33248000000","39346000000","36108000000","36819000000","38453000000","39638000000","37476000000","34106000000","47654000000","54789000000","60857000000","62447000000","55999000000","56068000000"

"Sources:"
,"Agency","Source","Table","Url","Direct Link","Updated","Update Schedule"
,"Bureau of Economic Analysis","International Trade in Goods and Services","","https://www.bea.gov/data/intl-trade-investment/international-trade-goods-and-services",,"2020","Yearly"
"Exported on: 03/28/2024"
