date,APPL,AMZN,GOOG,META,MFST
2023-08-24,176.380005,131.839996,130.419998,286.750000,319.970001
2023-08-25,178.610001,133.259995,130.690002,285.500000,322.980011
2023-08-28,180.190002,133.139999,131.789993,290.260010,323.700012
2023-08-29,184.119995,134.910004,135.490005,297.989990,328.410004
2023-08-30,187.649994,135.070007,136.929993,295.100006,328.790009
2023-08-31,187.869995,138.009995,137.350006,295.890015,327.760010
2023-09-01,189.460007,138.119995,136.800003,296.380005,328.660004
2023-09-05,189.699997,137.270004,136.710007,300.149994,333.549988
2023-09-06,182.910004,135.360001,135.369995,299.170013,332.880005
2023-09-07,177.559998,137.850006,136.199997,298.670013,329.910004
2023-09-08,178.179993,138.229996,137.199997,297.890015,334.269989
2023-09-11,179.360001,143.100006,137.740005,307.559998,337.940002
2023-09-12,176.300003,141.229996,136.070007,301.660004,331.769989
2023-09-13,174.210007,144.850006,137.500000,305.059998,336.059998
2023-09-14,175.740005,144.720001,138.990005,311.720001,338.700012
2023-09-15,175.009995,140.389999,138.300003,300.309998,330.220001
2023-09-18,177.970001,139.979996,138.960007,302.549988,329.059998
2023-09-19,179.070007,137.630005,138.830002,305.070007,328.649994
2023-09-20,175.490005,135.289993,134.589996,299.670013,320.769989
2023-09-21,173.929993,129.330002,131.360001,295.730011,319.529999
2023-09-22,174.789993,129.119995,131.250000,299.079987,317.010010
2023-09-25,176.080002,131.270004,132.169998,300.829987,317.540009
2023-09-26,171.960007,125.980003,129.449997,298.959991,312.140015
2023-09-27,170.429993,125.980003,131.460007,297.739990,312.790009
2023-09-28,170.690002,125.980003,133.130005,303.959991,313.640015
2023-09-29,171.210007,127.120003,131.850006,300.209991,315.750000
2023-10-02,173.750000,129.460007,135.169998,306.820007,321.799988
2023-10-03,172.399994,124.720001,133.300003,300.940002,313.390015
2023-10-04,173.660004,127.000000,136.270004,305.579987,318.959991
2023-10-05,174.910004,125.959999,135.990005,304.790009,319.359985
2023-10-06,177.490005,127.959999,138.729996,315.429993,327.260010
2023-10-09,178.990005,128.259995,139.500000,318.359985,329.820007
2023-10-10,178.389999,129.479996,139.199997,321.839996,328.390015
2023-10-11,179.800003,131.830002,141.699997,327.820007,332.420013
2023-10-12,180.710007,132.330002,140.289993,324.160004,331.160004
2023-10-13,178.850006,129.789993,138.580002,314.690002,327.730011
2023-10-16,178.720001,132.550003,140.490005,321.149994,332.640015
2023-10-17,177.149994,131.470001,140.990005,324.000000,332.059998
2023-10-18,175.839996,128.130005,139.279999,316.970001,330.109985
2023-10-19,175.460007,128.399994,138.979996,312.809998,331.320007
2023-10-20,172.880005,125.169998,136.740005,308.649994,326.670013
2023-10-23,173.000000,126.559998,137.899994,314.010010,329.320007
2023-10-24,173.440002,128.559998,140.119995,312.549988,330.529999
2023-10-25,171.100006,121.389999,126.669998,299.529999,340.670013
2023-10-26,166.889999,119.570000,123.440002,288.350006,327.890015
2023-10-27,168.220001,127.739998,123.400002,296.730011,329.809998
